iter	Passed	Remaining
405	6829	9992
406	6846	9974
407	6861	9955
408	6875	9935
409	6891	9916
410	6910	9903
411	6927	9886
412	6941	9865
413	6960	9852
414	6979	9838
415	6995	9821
416	7011	9802
417	7025	9782
418	7041	9764
419	7055	9743
420	7071	9724
421	7089	9710
422	7105	9692
423	7121	9673
424	7134	9653
425	7151	9635
426	7169	9621
427	7190	9609
428	7206	9591
429	7220	9571
430	7240	9559
431	7258	9543
432	7272	9523
433	7287	9504
434	7305	9489
435	7316	9464
436	7336	9451
437	7350	9431
438	7371	9420
439	7392	9408
440	7414	9398
441	7432	9383
442	7451	9369
443	7467	9350
444	7485	9335
445	7506	9323
446	7523	9307
447	7541	9292
448	7560	9277
449	7579	9263
450	7597	9247
451	7616	9234
452	7633	9216
453	7649	9199
454	7665	9181
455	7685	9168
456	7700	9150
457	7715	9131
458	7734	9116
459	7747	9094
460	7766	9080
461	7784	9065
462	7803	9050
463	7820	9033
464	7840	9021
465	7861	9008
466	7879	8993
467	7892	8971
468	7908	8953
469	7929	8941
470	7950	8929
471	7966	8911
472	7986	8898
473	8004	8882
474	8022	8867
475	8038	8849
476	8052	8829
477	8067	8810
478	8080	8789
479	8102	8777
480	8121	8763
481	8141	8749
482	8158	8732
483	8175	8715
484	8192	8699
485	8210	8683
486	8227	8667
487	8246	8651
488	8263	8635
489	8280	8618
490	8300	8604
491	8316	8587
492	8332	8568
493	8349	8552
494	8364	8533
495	8382	8517
496	8403	8505
497	8415	8482
498	8429	8462
499	8442	8442
500	8459	8425
501	8473	8405
502	8491	8390
503	8504	8369
504	8518	8349
505	8532	8330
506	8549	8313
507	8567	8298
508	8579	8276
509	8598	8261
510	8615	8244
511	8633	8228
512	8649	8210
513	8662	8190
514	8679	8173
515	8695	8155
516	8711	8138
517	8732	8125
518	8750	8109
519	8772	8098
520	8788	8079
521	8802	8060
522	8817	8042
523	8833	8024
524	8851	8008
525	8869	7992
526	8887	7976
527	8905	7961
528	8922	7944
529	8939	7927
530	8956	7911
531	8976	7897
532	8992	7879
533	9006	7859
534	9016	7836
535	9034	7820
536	9056	7808
537	9074	7792
538	9088	7773
539	9105	7756
540	9122	7739
541	9142	7725
542	9161	7710
543	9179	7694
544	9196	7678
545	9213	7660
546	9228	7642
547	9243	7624
548	9263	7609
549	9278	7591
550	9293	7573
551	9309	7555
552	9329	7541
553	9345	7523
554	9360	7505
555	9378	7489
556	9396	7473
557	9413	7456
558	9427	7437
559	9441	7418
560	9460	7403
561	9475	7384
562	9491	7366
563	9507	7349
564	9519	7329
565	9539	7314
566	9558	7299
567	9579	7286
568	9596	7268
569	9608	7248
570	9629	7234
571	9647	7218
572	9665	7203
573	9683	7186
574	9698	7168
575	9717	7152
576	9729	7132
577	9743	7113
578	9760	7097
579	9779	7081
580	9796	7064
581	9813	7048
582	9826	7028
583	9843	7011
584	9857	6992
585	9874	6976
586	9891	6959
587	9914	6946
588	9929	6928
589	9943	6909
590	9957	6890
591	9971	6872
592	9987	6854
593	10006	6839
594	10024	6823
595	10042	6807
596	10059	6790
597	10080	6776
598	10101	6762
599	10119	6746
600	10142	6733
601	10159	6716
602	10182	6703
603	10197	6685
604	10216	6670
605	10233	6653
606	10254	6639
607	10279	6627
608	10301	6613
609	10318	6597
610	10338	6582
611	10360	6568
612	10380	6553
613	10396	6536
614	10415	6520
615	10432	6503
616	10450	6486
617	10466	6469
618	10480	6450
619	10498	6434
620	10516	6418
621	10533	6401
622	10553	6386
623	10571	6369
624	10586	6351
625	10599	6332
626	10618	6316
627	10635	6300
628	10655	6284
629	10669	6266
630	10691	6252
631	10710	6236
632	10725	6218
633	10743	6201
634	10760	6185
635	10778	6168
636	10794	6151
637	10808	6132
638	10829	6117
639	10845	6100
640	10860	6082
641	10877	6065
642	10896	6050
643	10913	6033
644	10931	6016
645	10946	5998
646	10964	5982
647	10981	5965
648	11000	5949
649	11016	5931
650	11034	5915
651	11053	5899
652	11070	5882
653	11081	5862
654	11096	5844
655	11116	5829
656	11135	5813
657	11153	5797
658	11171	5780
659	11188	5763
660	11206	5747
661	11222	5729
662	11239	5712
663	11256	5696
664	11273	5678
665	11286	5660
666	11303	5643
667	11321	5626
668	11336	5609
669	11354	5592
670	11373	5576
671	11391	5559
672	11414	5545
673	11430	5528
674	11449	5512
675	11468	5496
676	11488	5481
677	11504	5463
678	11522	5447
679	11538	5430
680	11555	5412
681	11574	5396
682	11589	5378
683	11608	5362
684	11624	5345
685	11644	5329
686	11663	5313
687	11681	5297
688	11695	5279
689	11714	5263
690	11732	5246
691	11743	5226
692	11762	5210
693	11777	5193
694	11788	5173
695	11799	5153
696	11813	5135
697	11832	5119
698	11849	5102
699	11863	5084
700	11878	5066
701	11895	5049
702	11914	5033
703	11930	5016
704	11947	4999
705	11962	4981
706	11977	4963
707	11994	4946
708	12015	4931
709	12034	4915
710	12054	4899
711	12071	4883
712	12086	4865
713	12104	4848
714	12122	4832
715	12138	4814
716	12155	4797
717	12176	4782
718	12190	4764
719	12206	4747
720	12221	4729
721	12237	4711
722	12253	4694
723	12271	4677
724	12287	4660
725	12300	4642
726	12318	4625
727	12335	4608
728	12348	4590
729	12367	4574
730	12384	4557
731	12402	4540
732	12425	4525
733	12441	4508
734	12459	4492
735	12477	4475
736	12494	4458
737	12512	4441
738	12530	4425
739	12549	4409
740	12562	4390
741	12582	4374
742	12600	4358
743	12621	4342
744	12637	4325
745	12656	4309
746	12671	4291
747	12688	4274
748	12710	4259
749	12730	4243
750	12750	4227
751	12769	4211
752	12786	4194
753	12805	4177
754	12821	4160
755	12838	4143
756	12856	4127
757	12873	4110
758	12894	4094
759	12914	4078
760	12931	4061
761	12950	4044
762	12968	4028
763	12987	4011
764	13003	3994
765	13020	3977
766	13037	3960
767	13055	3943
768	13072	3926
769	13089	3909
770	13104	3892
771	13122	3875
772	13141	3859
773	13160	3842
774	13178	3826
775	13198	3810
776	13210	3791
777	13232	3775
778	13250	3759
779	13264	3741
780	13284	3725
781	13298	3707
782	13317	3690
783	13333	3673
784	13353	3657
785	13366	3639
786	13381	3621
787	13398	3604
788	13414	3587
789	13432	3570
790	13450	3553
791	13468	3537
792	13488	3521
793	13504	3503
794	13518	3486
795	13534	3468
796	13552	3451
797	13567	3434
798	13582	3416
799	13602	3400
800	13618	3383
801	13638	3367
802	13653	3349
803	13667	3331
804	13686	3315
805	13706	3298
806	13723	3282
807	13740	3265
808	13757	3248
809	13775	3231
810	13794	3214
811	13811	3197
812	13828	3180
813	13847	3164
814	13861	3146
815	13875	3128
816	13892	3111
817	13916	3096
818	13933	3079
819	13949	3061
820	13965	3044
821	13982	3027
822	13996	3010
823	14015	2993
824	14034	2977
825	14052	2960
826	14070	2943
827	14087	2926
828	14107	2909
829	14125	2893
830	14140	2875
831	14160	2859
832	14178	2842
833	14191	2824
834	14208	2807
835	14225	2790
836	14242	2773
837	14262	2757
838	14282	2740
839	14301	2724
840	14317	2706
841	14330	2689
842	14346	2671
843	14369	2655
844	14386	2638
845	14403	2621
846	14419	2604
847	14435	2587
848	14448	2569
849	14466	2552
850	14484	2536
851	14503	2519
852	14519	2502
853	14533	2484
854	14546	2466
855	14564	2450
856	14581	2433
857	14601	2416
858	14616	2399
859	14636	2382
860	14652	2365
861	14672	2348
862	14691	2332
863	14707	2315
864	14726	2298
865	14745	2281
866	14762	2264
867	14784	2248
868	14817	2233
869	14844	2218
870	14865	2201
871	14883	2184
872	14900	2167
873	14921	2151
874	14937	2133
875	14950	2116
876	14963	2098
877	14980	2081
878	14998	2064
879	15016	2047
880	15033	2030
881	15046	2013
882	15064	1996
883	15083	1979
884	15101	1962
885	15116	1945
886	15135	1928
887	15154	1911
888	15170	1894
889	15185	1876
890	15208	1860
891	15223	1843
892	15241	1826
893	15254	1808
894	15267	1791
895	15285	1774
896	15306	1757
897	15326	1740
898	15341	1723
899	15357	1706
900	15371	1688
901	15388	1671
902	15400	1654
903	15419	1637
904	15435	1620
905	15460	1604
906	15482	1587
907	15503	1570
908	15519	1553
909	15535	1536
910	15552	1519
911	15570	1502
912	15587	1485
913	15606	1468
914	15621	1451
915	15640	1434
916	15655	1416
917	15674	1400
918	15690	1382
919	15706	1365
920	15724	1348
921	15740	1331
922	15756	1314
923	15773	1297
924	15791	1280
925	15807	1263
926	15827	1246
927	15846	1229
928	15865	1212
929	15881	1195
930	15899	1178
931	15916	1161
932	15935	1144
933	15951	1127
934	15969	1110
935	15988	1093
936	16004	1076
937	16018	1058
938	16036	1041
939	16055	1024
940	16073	1007
941	16091	990
942	16106	973
943	16122	956
944	16141	939
945	16155	922
946	16169	904
947	16186	887
948	16203	870
949	16219	853
950	16232	836
951	16249	819
952	16268	802
953	16284	785
954	16299	768
955	16316	750
956	16332	733
957	16347	716
958	16365	699
959	16381	682
960	16397	665
961	16410	648
962	16433	631
963	16448	614
964	16467	597
965	16485	580
966	16502	563
967	16519	546
968	16538	529
969	16553	511
970	16569	494
971	16583	477
972	16606	460
973	16625	443
974	16648	426
975	16670	409
976	16687	392
977	16704	375
978	16720	358
979	16738	341
980	16756	324
981	16772	307
982	16794	290
983	16813	273
984	16830	256
985	16846	239
986	16863	222
987	16884	205
988	16905	188
989	16924	170
990	16943	153
991	16958	136
992	16981	119
993	16997	102
994	17012	85
995	17029	68
996	17044	51
997	17065	34
998	17081	17
999	17096	0
